label,status,level,weight,cm_discs,is_cm,steinberg,a_p2,p_pow,v2_F1_m1,v2_F1_m2,v2_F1_m3,v2_F1_m4,match_-3_-2_0_+1,match_step_+1_+2_+1,notes
4.5.b.a,OK,4,5,-4,True,NON-STEINBERG,16,4,0,4,9,11,False,False,
9.5.b.a,OK,9,5,none,False,STEINBERG,-4,4,9999,2,9999,6,False,False,
12.5.b.a,LMFDB_MISS,,,,,,,,,,,,False,False,lmfdb miss
16.5.b.a,LMFDB_MISS,,,,,,,,,,,,False,False,lmfdb miss
16.5.c.a,OK,16,5,none,False,NON-STEINBERG,0,4,9999,9999,9999,9999,False,False,
25.5.b.a,LMFDB_MISS,,,,,,,,,,,,False,False,lmfdb miss
27.5.b.a,OK,27,5,-3,True,NON-STEINBERG,16,4,9999,4,9999,11,False,False,
36.5.b.a,LMFDB_MISS,,,,,,,,,,,,False,False,lmfdb miss
49.5.b.a,OK,49,5,none,False,NON-STEINBERG,40,4,1,3,7,7,False,False,
100.5.b.a,OK,100,5,-4,True,NON-STEINBERG,16,4,0,4,9,11,False,False,
