CSV_HEADER: n,gamma_n,norm_gap_to_next
1,7.535156076018,1.11397045
2,9.948419581278,1.07407219
3,12.102835908397,1.64637730
4,15.194557426053,0.87440687
5,16.762730840182,1.02776555
6,18.554799372293,0.73402989
7,19.805994199810,1.02779135
8,21.523199903581,1.39323691
9,23.795309011063,0.81942826
10,25.105764920745,1.07895475
11,26.805422172794,0.49594351
12,27.577666078224,1.05493432
13,29.202949374289,0.76333295
14,30.365317174700,1.21648836
15,32.195978614125,1.07567401
16,33.794305102244,0.76372971
17,34.918372316220,0.75725691
18,36.024635093842,0.75635761
19,37.121781737466,1.05511194
20,38.639978062561,0.41108446
21,39.227794918904,1.43724837
22,41.267536033428,0.89605305
23,42.527776625343,0.85260005
24,43.719212497935,0.60636756
25,44.562188437140,0.97950756
26,45.916538653216,0.71197362
27,46.895488630760,0.59424802
28,47.709161808462,1.09121807
29,49.195529653153,1.07985844
30,50.656930763983,0.82072449
31,51.761601695070,0.81007862
32,52.847023926495,0.81019388
33,53.927876216104,0.62761606
34,54.762009394898,0.88668305
35,55.935909953453,0.55401011
36,56.666749787335,1.14003416
37,58.164498786510,0.69966028
38,59.079715808275,1.29241154
39,60.762624240402,0.53879841
40,61.461368776858,0.78018679
41,62.470270290192,0.80714997
42,63.510528284724,0.60717888
43,64.290766613276,0.92978414
44,65.481831167767,0.65068600
45,66.312748516613,0.80207233
46,67.334087205641,1.20275257
47,68.859804548253,0.93625450
48,70.042760102577,0.43586479
49,70.592105159640,0.89047403
50,71.711770220763,0.79785068
51,72.712012544039,0.71722561
52,73.608842351299,0.58441045
53,74.337994447743,0.94344038
54,75.512117622853,0.63450034
55,76.299732075515,1.43110433
56,78.070337085514,0.42492957
57,78.594549439851,0.81419401
58,79.597067134865,1.11632249
59,80.967596787671,0.22262007
60,81.240368820810,0.96685936
61,82.422982787020,0.64438903
62,83.209336540469,0.78403833
63,84.164166304374,0.82056962
64,85.161244442858,0.88325714
65,86.231981048081,1.12209348
66,87.588568422847,0.46391194
67,88.148247454896,1.11625303
68,89.492152718150,0.39906362
69,89.971664334658,0.70794373
70,90.821125252938,0.82828487
71,91.813063756190,0.95015066
72,92.948440362727,0.29174839
73,93.296533870676,1.00907829
74,94.498602557649,1.11628435
75,95.825017549771,0.69517241
76,96.649298371433,1.01523981
77,97.850716278949,0.34900437
78,98.263080514931,0.80525012
79,99.213282284587,0.88515474
80,100.255806350101,0.67541417
81,101.049936233432,0.55101432
82,101.696937175710,0.82121558
83,102.659785323192,0.78698935
84,103.580926935107,1.31401486
85,105.115548311616,0.30473015
86,105.470843445320,1.10843359
87,106.761339222902,0.59683950
88,107.455014569104,0.63845908
89,108.196146996040,0.89164469
90,109.229616136030,0.69238194
91,110.030885857119,0.35314041
92,110.439149396606,1.10884958
93,111.719286878747,0.72364846
94,112.553268523349,0.78529327
95,113.457014388415,1.07661309
96,114.693886756260,0.67201283
97,115.464697257043,0.71894810
98,116.288305366708,0.70973260
99,117.100315245697,0.66122060
100,117.855901196443,0.71399000
101,118.670800146369,0.67684686
102,119.442369546389,0.90840493
103,120.476485426538,0.48813456
104,121.031507335693,0.92030103
105,122.076664921325,1.01761438
106,123.230460441616,0.93024200
107,124.283489234351,0.59217381
108,124.952990187076,0.43203829
109,125.441037907637,1.09431747
110,126.675700699639,0.56813715
111,127.315849342854,0.57638303
112,127.964700014724,0.86666938
113,128.939227432796,0.77580186
114,129.810462555084,0.35633600
115,130.210282123140,1.39823785
116,131.777038404876,0.77952178
117,132.649068751083,0.51927066
118,133.229397124478,0.90810750
119,134.243205224018,0.64792923
120,134.965720518137,0.75171030
121,135.803104940444,0.75141264
122,136.639244360355,0.38422186
123,137.066439781699,1.02764401
124,138.207867084422,0.53544030
125,138.801932647762,0.84341657
126,139.736786138919,0.95504597
127,140.794041881872,0.90630521
128,141.796049399581,0.51781265
129,142.367982090124,0.98589132
130,143.455801777636,0.64146701
131,144.162810949259,0.59556930
132,144.818688896833,0.50445394
133,145.373818062048,1.09268330
134,146.574998102156,0.54247037
135,147.170692959958,0.55565998
136,147.780435105762,0.92255585
137,148.791814792828,0.87792269
138,149.753152015738,0.84275495
139,150.674969925385,0.96459776
140,151.728858718335,0.49762737
141,152.272053002379,0.54490417
142,152.866467431961,1.09376165
143,154.058400874175,0.18674332
144,154.261745586963,1.21685394
145,155.585643550459,0.36580739
146,155.983248771621,0.67527628
147,156.716763661947,0.75553053
148,157.536751727286,1.18505303
149,158.821425471877,0.53934253
150,159.405513941248,1.04235266
151,160.533301333974,0.48339799
152,161.055857282651,0.79539281
153,161.915047605940,0.56340210
154,162.523165622932,1.01025215
155,163.612622428454,0.44597454
156,164.093165677506,0.56599327
157,164.702683523646,0.81010210
158,165.574410448484,0.86006514
159,166.499042175463,0.70728350
160,167.258765004974,0.84204045
161,168.162467851348,1.05080719
162,169.289064085961,0.40428875
163,169.722171209522,0.91587248
164,170.702632997138,0.69236658
165,171.443190500819,0.51354072
166,171.992123763571,0.76000796
167,172.803964312161,0.75496396
168,173.609775634642,0.54931904
169,174.195692629367,0.86641162
170,175.119149407956,0.80283210
171,175.974104054890,0.44860337
172,176.451525762071,1.34380023
173,177.880346391936,0.75771809
174,178.685148443940,0.36744715
175,179.075207860181,0.80337244
176,179.927519711422,0.82294057
177,180.799885795030,0.57509847
178,181.409103180757,0.58578756
179,182.029289508904,1.00218839
180,183.089504567024,0.41984610
181,183.533352530883,0.71676587
182,184.290677851277,0.73150279
183,185.063034979449,1.11363685
184,186.237830303517,0.87430979
185,187.159284286271,0.46100198
186,187.644837915274,0.74158271
187,188.425473874429,0.83828658
188,189.307254713956,0.54736502
189,189.882648726457,0.95252719
190,190.883257763584,0.26118409
191,191.157472714985,0.87460821
192,192.075238697961,0.73761746
193,192.848685302835,0.65402346
194,193.534044751661,0.72693572
195,194.295335384251,1.29069927
196,195.645810650957,0.31444975
197,195.974588202058,0.78376569
198,196.793667009770,1.00041051
199,197.838329183185,0.61368322
200,198.478704293521,0.44628136
201,198.944181069194,0.66792053
202,199.640492727411,NA
